Dataset,C:/Users/DigiPath/Desktop/lynda/2AFC_PilotStudy/TestingROIs/RandLocation6v13
Subset#1,Window1
Subset#2,Window2
Subset#3,Window3
Subset#4,Window4
Session,nick
Opened at,Tue Jul 6 14:21:19 2021

,,At,#1,#2,#3,#4,#True,#Chosen
,,02:26:52 PM,0047_6HA10mmTL4b_t,0047_13HA10mmBL8b_f,0047_blankROI_f,0047_blankROI_f,1,1
,,02:26:55 PM,0048_6HA10mmBR7b_t,0048_13HA10mmTR4b_f,0048_blankROI_f,0048_blankROI_f,1,1
,,02:26:57 PM,0049_13HA10mmBL1_f,0049_6HA10mmTR4_t,0049_blankROI_f,0049_blankROI_f,2,1
,,02:27:00 PM,0050_6HA10mmTL7b_t,0050_13HA10mmTL7_f,0050_blankROI_f,0050_blankROI_f,1,1
,,02:27:04 PM,0051_6HA10mmBL8_t,0051_13HA10mmBM6_f,0051_blankROI_f,0051_blankROI_f,1,1
,,02:27:13 PM,0052_13HA10mmBR3_f,0052_6HA10mmBM1_t,0052_blankROI_f,0052_blankROI_f,2,2
,,02:27:22 PM,0053_6HA10mmTL4_t,0053_13HA10mmBL2b_f,0053_blankROI_f,0053_blankROI_f,1,1
,,02:27:42 PM,0054_6HA10mmTR2_t,0054_13HA10mmBR2b_f,0054_blankROI_f,0054_blankROI_f,1,1
,,02:27:56 PM,0055_13HA10mmBL1b_f,0055_6HA10mmBR5_t,0055_blankROI_f,0055_blankROI_f,2,2
,,02:28:04 PM,0056_13HA10mmBL7b_f,0056_6HA10mmTL3b_t,0056_blankROI_f,0056_blankROI_f,2,2
,,02:28:09 PM,0057_6HA10mmBL5_t,0057_13HA10mmBM6b_f,0057_blankROI_f,0057_blankROI_f,1,1
,,02:28:17 PM,0058_13HA10mmTL5b_f,0058_6HA10mmTL7_t,0058_blankROI_f,0058_blankROI_f,2,2
,,02:28:26 PM,0059_6HA10mmTL5b_t,0059_13HA10mmTR2_f,0059_blankROI_f,0059_blankROI_f,1,2
,,02:28:36 PM,0060_13HA10mmBM1_f,0060_6HA10mmTL5_t,0060_blankROI_f,0060_blankROI_f,2,2
,,02:28:39 PM,0061_13HA10mmTR5_f,0061_6HA10mmTR6_t,0061_blankROI_f,0061_blankROI_f,2,2
,,02:28:47 PM,0062_13HA10mmBR4b_f,0062_6HA10mmBL7b_t,0062_blankROI_f,0062_blankROI_f,2,1
,,02:28:57 PM,0063_6HA10mmTR2b_t,0063_13HA10mmBR5_f,0063_blankROI_f,0063_blankROI_f,1,2
,,02:29:03 PM,0064_6HA10mmBL7_t,0064_13HA10mmTR7b_f,0064_blankROI_f,0064_blankROI_f,1,2
,,02:29:13 PM,0065_6HA10mmTL2_t,0065_13HA10mmBR8_f,0065_blankROI_f,0065_blankROI_f,1,1
,,02:29:17 PM,0066_6HA10mmBR4b_t,0066_13HA10mmTR8_f,0066_blankROI_f,0066_blankROI_f,1,1
,,02:29:21 PM,0067_13HA10mmTL6b_f,0067_6HA10mmBR6b_t,0067_blankROI_f,0067_blankROI_f,2,1
,,02:29:24 PM,0068_13HA10mmBM4_f,0068_6HA10mmTR1_t,0068_blankROI_f,0068_blankROI_f,2,2
,,02:29:32 PM,0069_6HA10mmTL6_t,0069_13HA10mmTL7b_f,0069_blankROI_f,0069_blankROI_f,1,1
,,02:29:35 PM,0070_6HA10mmTR8_t,0070_13HA10mmBR7b_f,0070_blankROI_f,0070_blankROI_f,1,2


Closed at,Tue Jul 6 14:29:46 2021
